Date,Actual_AQI,P10,P50,P90
2020-06-14,130.0,101.07665770664597,131.98517616496616,189.94121357043144
2020-06-15,126.0,109.01675668980654,141.30723193583444,209.26226326492076
2020-06-16,110.0,107.6179967146195,123.21627147699296,193.7125195425518
2020-06-17,107.0,108.33504420778819,134.3418843595307,197.79106113632054
2020-06-18,132.0,87.92599413447684,102.10991290375887,145.7777659331184
2020-06-19,158.0,86.65378568336078,107.60346312240446,171.44570492368987
2020-06-20,105.0,94.43201859806837,130.79369193308517,176.0405461848993
2020-06-21,104.0,93.37369653718348,145.50677301010708,189.9062839090827
2020-06-22,85.0,97.45558276198368,102.94352504769607,125.65474616253104
2020-06-23,71.0,94.5282344373791,101.01243242615017,137.1462482352885
2020-06-24,86.0,73.1425552024308,97.50196326126532,118.93963876156897
2020-06-25,104.0,72.76750881632135,98.54037566852283,121.53874934004924
2020-06-26,112.0,72.44229788385222,97.54808411636097,128.4658791561436
2020-06-27,196.0,89.87502596956399,117.23060494089464,171.27524000859972
2020-06-28,233.0,88.996303596868,116.56670795135852,158.30364372610495
2020-06-29,114.0,114.19702114413182,188.5621820134656,262.87695171412145
2020-06-30,101.0,120.40281435693913,218.84297949019896,265.8649514243857
